574,563,59003.5,27
565,558,57085,118
563,558,57033.3,109
549,537,56230.7,117
552,537,55892.1,129
529,519,54010.8,99
511,501,52657.7,218
501,494,52247.5,83
487,475,50081.9,512
473,465,46050.4,57
446,434,44224.4,75
407,397,38652.4,49
201,191,19027.3,141
260,249,22984.8,51
191,181,15850.7,80
368,353,35650.6,155
165,156,13134.1,150
312,301,31152.2,451
246,232,21801.2,163
4,-1,1213.65,1
494,487,50818.8,186
113,100,8624.06,65
181,174,15221.1,258
54,47,5344.91,70
465,450,45391.7,201
84,71,6061.5,51
25,11,3684.6,394
450,446,45123.3,200
323,312,31924.5,141
128,122,10386.6,140
382,376,37219.7,36
2,-1,944.89,1
424,418,42424.2,233
43,29,5012.46,72
397,389,37922,47
215,205,19771.8,24
519,511,53246.1,97
11,4,3345.88,170
116,113,9874.06,113
537,529,54915.7,163
156,145,12333.9,55
29,25,3813.8,19
475,473,49010.3,63
94,84,7698.41,101
135,128,11422.6,120
389,382,37627.9,203
36,29,4457.96,45
145,135,11559.6,185
272,260,25658.9,175
570,563,58685.5,24
62,54,5530.29,41
434,424,42536.2,404
53,47,5512.56,64
100,94,8050.03,218
218,205,19770.4,38
336,332,33691,245
71,62,5755.46,28
223,215,19965.4,90
400,389,37972.1,54
232,223,20944.3,40
418,405,39774,120
291,285,27840.8,68
252,246,21873.9,142
269,260,26150.6,144
285,278,27055,114
294,285,27666.3,77
353,343,34786.1,36
558,552,56782.3,199
304,294,30193,126
47,36,5032.63,143
174,165,14593.2,95
301,294,30350.3,115
459,450,45665.5,185
205,201,19132.9,459
332,323,33619,161
343,336,34006.8,19
122,113,9818.13,151
249,246,22118.1,132
376,368,35711.9,135
361,353,35742,126
532,519,54193.6,102
278,272,26508.8,485
405,397,38569.8,45
